Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
4675,60,4,70.6,3,3,2,332,8,REGULARS
2861,28,5,70.55,4,4,2,442,10,LOYAL
1337,5,2,70.5,4,1,2,412,7,ACTIVE
4970,144,3,70.5,2,2,2,222,6,REGULARS
3671,80,3,70.46,3,2,2,322,7,REGULARS
1918,92,2,70.4,3,1,2,312,6,REGULARS
1824,59,4,70.4,3,3,2,332,8,REGULARS
2921,398,3,70.4,1,2,2,122,5,LOST
2533,372,3,70.4,1,2,2,122,5,LOST
3716,50,4,70.4,4,3,2,432,9,ACTIVE
4183,349,6,70.39,1,4,2,142,7,LOYAL
4013,287,4,70.38,1,3,2,132,6,LOST
1411,313,2,70.32,1,1,2,112,4,LOST
4177,198,3,70.3,2,2,2,222,6,REGULARS
4041,75,3,70.3,3,2,2,322,7,REGULARS
1002,122,4,70.3,3,3,2,332,8,REGULARS
4122,68,4,70.25,3,3,2,332,8,REGULARS
2521,16,3,70.2,4,2,2,422,8,ACTIVE
4074,111,4,70.2,3,3,2,332,8,REGULARS
3717,214,4,70.1,2,3,2,232,7,REGULARS
1417,103,5,70.1,3,4,2,342,9,LOYAL
2680,141,4,70.1,3,3,2,332,8,REGULARS
4901,319,3,70.0,1,2,2,122,5,LOST
2087,265,4,70.0,2,3,2,232,7,REGULARS
2726,395,4,69.92,1,3,2,132,6,LOST
1875,154,2,69.9,2,1,2,212,5,REGULARS
2185,80,4,69.9,3,3,2,332,8,REGULARS
1035,113,5,69.9,3,4,2,342,9,LOYAL
3884,267,2,69.8,2,1,2,212,5,REGULARS
4860,411,6,69.76,1,4,2,142,7,LOYAL
2882,188,4,69.75,2,3,2,232,7,REGULARS
1188,355,3,69.7,1,2,2,122,5,LOST
2412,292,2,69.7,1,1,2,112,4,LOST
2328,311,2,69.7,1,1,2,112,4,LOST
3640,83,3,69.65,3,2,2,322,7,REGULARS
3129,522,3,69.65,1,2,2,122,5,LOST
3623,237,2,69.6,2,1,2,212,5,REGULARS
3986,42,5,69.6,4,4,2,442,10,LOYAL
3985,68,5,69.6,3,4,2,342,9,LOYAL
1615,27,4,69.5,4,3,2,432,9,ACTIVE
2744,225,3,69.5,2,2,2,222,6,REGULARS
2488,133,2,69.5,3,1,2,312,6,REGULARS
2239,17,3,69.41,4,2,2,422,8,ACTIVE
2134,95,3,69.4,3,2,2,322,7,REGULARS
2955,207,6,69.4,2,4,2,242,8,LOYAL
3208,40,5,69.4,4,4,2,442,10,LOYAL
2091,72,4,69.4,3,3,2,332,8,REGULARS
2809,264,2,69.35,2,1,2,212,5,REGULARS
4697,110,5,69.32,3,4,2,342,9,LOYAL
3285,171,2,69.3,2,1,2,212,5,REGULARS
2702,217,4,69.3,2,3,2,232,7,REGULARS
4414,341,3,69.26,1,2,2,122,5,LOST
3399,164,4,69.26,2,3,2,232,7,REGULARS
4088,98,4,69.23,3,3,2,332,8,REGULARS
2119,97,3,69.2,3,2,2,322,7,REGULARS
3338,135,4,69.1,3,3,2,332,8,REGULARS
4963,366,4,69.1,1,3,2,132,6,LOST
1205,291,3,69.1,1,2,2,122,5,LOST
2299,50,3,69.07,4,2,2,422,8,ACTIVE
4003,7,4,69.04,4,3,2,432,9,ACTIVE
2796,74,5,69.0,3,4,2,342,9,LOYAL
2732,272,4,68.9,2,3,2,232,7,REGULARS
4231,353,2,68.9,1,1,2,112,4,LOST
3615,119,4,68.9,3,3,2,332,8,REGULARS
3480,237,5,68.8,2,4,2,242,8,LOYAL
3023,155,3,68.8,2,2,2,222,6,REGULARS
1151,104,2,68.8,3,1,2,312,6,REGULARS
4794,64,4,68.8,3,3,2,332,8,REGULARS
4310,306,3,68.7,1,2,2,122,5,LOST
4192,14,5,68.7,4,4,2,442,10,LOYAL
2929,434,2,68.7,1,1,2,112,4,LOST
4672,55,3,68.6,4,2,2,422,8,ACTIVE
3277,425,3,68.6,1,2,2,122,5,LOST
1217,315,3,68.6,1,2,2,122,5,LOST
1868,424,3,68.5,1,2,2,122,5,LOST
1115,342,4,68.5,1,3,2,132,6,LOST
1304,135,3,68.5,3,2,2,322,7,REGULARS
4103,157,4,68.5,2,3,2,232,7,REGULARS
1722,125,6,68.45,3,4,2,342,9,LOYAL
3459,147,4,68.4,2,3,2,232,7,REGULARS
1403,228,4,68.4,2,3,2,232,7,REGULARS
1212,152,4,68.4,2,3,2,232,7,REGULARS
4928,134,1,68.4,3,1,2,312,6,REGULARS
4686,48,6,68.3,4,4,2,442,10,LOYAL
3222,147,4,68.22,2,3,2,232,7,REGULARS
2118,165,2,68.2,2,1,2,212,5,REGULARS
2247,213,3,68.15,2,2,2,222,6,REGULARS
2424,458,3,68.1,1,2,2,122,5,LOST
4931,240,5,68.1,2,4,2,242,8,LOYAL
4591,200,3,68.0,2,2,2,222,6,REGULARS
1550,230,3,67.95,2,2,2,222,6,REGULARS
4489,41,3,67.94,4,2,2,422,8,ACTIVE
3664,214,3,67.9,2,2,2,222,6,REGULARS
2842,154,2,67.8,2,1,2,212,5,REGULARS
1937,74,5,67.8,3,4,2,342,9,LOYAL
2020,41,3,67.8,4,2,2,422,8,ACTIVE
2462,280,2,67.78,2,1,2,212,5,REGULARS
1867,276,4,67.7,2,3,2,232,7,REGULARS
4899,292,4,67.7,1,3,2,132,6,LOST
2923,423,2,67.6,1,1,2,112,4,LOST
1125,41,5,67.56,4,4,2,442,10,LOYAL
2712,95,5,67.54,3,4,2,342,9,LOYAL
2583,279,2,67.5,2,1,2,212,5,REGULARS
4823,470,4,67.46,1,3,2,132,6,LOST
3698,122,5,67.45,3,4,2,342,9,LOYAL
3798,117,2,67.36,3,1,2,312,6,REGULARS
1815,122,5,67.3,3,4,2,342,9,LOYAL
2314,35,5,67.3,4,4,2,442,10,LOYAL
1128,178,4,67.25,2,3,2,232,7,REGULARS
1680,385,3,67.2,1,2,2,122,5,LOST
1747,378,5,67.2,1,4,2,142,7,LOYAL
2635,104,2,67.2,3,1,2,312,6,REGULARS
1831,355,3,67.15,1,2,2,122,5,LOST
2914,30,4,67.1,4,3,2,432,9,ACTIVE
4781,38,3,67.1,4,2,2,422,8,ACTIVE
4684,404,4,67.1,1,3,2,132,6,LOST
1270,249,3,67.06,2,2,2,222,6,REGULARS
1829,194,4,67.0,2,3,2,232,7,REGULARS
3168,14,5,67.0,4,4,2,442,10,LOYAL
1562,233,3,66.9,2,2,2,222,6,REGULARS
3650,166,2,66.9,2,1,2,212,5,REGULARS
1230,41,6,66.85,4,4,2,442,10,LOYAL
2402,115,3,66.83,3,2,2,322,7,REGULARS
4061,235,3,66.8,2,2,2,222,6,REGULARS
1307,191,5,66.7,2,4,2,242,8,LOYAL
1784,95,3,66.7,3,2,2,322,7,REGULARS
1883,55,5,66.7,4,4,2,442,10,LOYAL
2085,252,4,66.7,2,3,2,232,7,REGULARS
1140,187,2,66.7,2,1,2,212,5,REGULARS
4607,15,3,66.6,4,2,2,422,8,ACTIVE
4294,27,6,66.6,4,4,2,442,10,LOYAL
2880,57,3,66.5,4,2,2,422,8,ACTIVE
1518,19,3,66.45,4,2,2,422,8,ACTIVE
4561,482,4,66.4,1,3,2,132,6,LOST
1070,420,2,66.4,1,1,2,112,4,LOST
3953,231,4,66.3,2,3,2,232,7,REGULARS
4360,310,3,66.25,1,2,2,122,5,LOST
4159,2,3,66.2,4,2,2,422,8,ACTIVE
2780,80,2,66.2,3,1,2,312,6,REGULARS
4732,392,1,66.2,1,1,2,112,4,LOST
4748,15,5,66.2,4,4,2,442,10,LOYAL
3183,145,3,66.1,2,2,2,222,6,REGULARS
2044,14,4,66.01,4,3,2,432,9,ACTIVE
4075,359,4,66.0,1,3,2,132,6,LOST
2983,110,2,66.0,3,1,2,312,6,REGULARS
1527,0,5,65.9,4,4,2,442,10,LOYAL
1082,596,2,65.8,1,1,2,112,4,LOST
2058,209,4,65.76,2,3,2,232,7,REGULARS
1795,271,2,65.75,2,1,2,212,5,REGULARS
2622,90,3,65.7,3,2,2,322,7,REGULARS
2917,582,2,65.7,1,1,2,112,4,LOST
4544,343,5,65.65,1,4,2,142,7,LOYAL
4238,18,3,65.5,4,2,2,422,8,ACTIVE
2261,184,6,65.5,2,4,2,242,8,LOYAL
2623,81,3,65.5,3,2,2,322,7,REGULARS
1781,207,3,65.46,2,2,2,222,6,REGULARS
4403,101,5,65.45,3,4,2,342,9,LOYAL
3612,94,6,65.44,3,4,2,342,9,LOYAL
3010,138,5,65.44,3,4,2,342,9,LOYAL
4100,252,3,65.35,2,2,2,222,6,REGULARS
2528,72,3,65.3,3,2,2,322,7,REGULARS
2165,115,6,65.3,3,4,2,342,9,LOYAL
3256,153,4,65.3,2,3,2,232,7,REGULARS
3740,590,1,65.2,1,1,2,112,4,LOST
4532,31,3,65.1,4,2,2,422,8,ACTIVE
2749,191,3,65.1,2,2,2,222,6,REGULARS
3123,380,4,65.1,1,3,2,132,6,LOST
4654,472,3,65.06,1,2,2,122,5,LOST
4348,263,5,65.0,2,4,2,242,8,LOYAL
1926,75,3,65.0,3,2,2,322,7,REGULARS
2257,229,4,64.9,2,3,2,232,7,REGULARS
3760,38,5,64.76,4,4,2,442,10,LOYAL
3516,17,3,64.7,4,2,2,422,8,ACTIVE
3520,51,4,64.67,4,3,2,432,9,ACTIVE
3394,17,3,64.66,4,2,2,422,8,ACTIVE
1031,76,3,64.6,3,2,2,322,7,REGULARS
4716,304,2,64.6,1,1,2,112,4,LOST
3324,128,5,64.5,3,4,2,342,9,LOYAL
2420,94,3,64.5,3,2,2,322,7,REGULARS
3457,416,2,64.43,1,1,2,112,4,LOST
3802,76,2,64.4,3,1,2,312,6,REGULARS
4370,572,3,64.35,1,2,2,122,5,LOST
4381,91,3,64.3,3,2,2,322,7,REGULARS
2470,230,4,64.3,2,3,2,232,7,REGULARS
3534,49,3,64.3,4,2,2,422,8,ACTIVE
2824,23,3,64.2,4,2,2,422,8,ACTIVE
3374,125,2,64.2,3,1,2,312,6,REGULARS
2203,186,1,64.2,2,1,2,212,5,REGULARS
4260,44,4,64.2,4,3,2,432,9,ACTIVE
2023,121,3,64.1,3,2,2,322,7,REGULARS
1332,28,5,64.1,4,4,2,442,10,LOYAL
2309,1,4,64.07,4,3,2,432,9,ACTIVE
1195,56,3,64.06,4,2,2,422,8,ACTIVE
4723,222,3,64.0,2,2,2,222,6,REGULARS
3440,9,1,63.9,4,1,2,412,7,ACTIVE
2503,325,1,63.9,1,1,2,112,4,LOST
1274,538,3,63.88,1,2,2,122,5,LOST
4457,118,2,63.8,3,1,2,312,6,REGULARS
1319,134,3,63.8,3,2,2,322,7,REGULARS
3485,161,3,63.8,2,2,2,222,6,REGULARS
1413,381,3,63.8,1,2,2,122,5,LOST
3925,280,2,63.72,2,1,2,212,5,REGULARS
4582,47,4,63.7,4,3,2,432,9,ACTIVE
3837,232,2,63.6,2,1,2,212,5,REGULARS
4404,446,3,63.6,1,2,2,122,5,LOST
4687,98,4,63.6,3,3,2,332,8,REGULARS
1514,128,5,63.54,3,4,2,342,9,LOYAL
2111,308,4,63.51,1,3,2,132,6,LOST
3784,199,3,63.5,2,2,2,222,6,REGULARS
4602,126,1,63.5,3,1,2,312,6,REGULARS
4770,594,3,63.5,1,2,2,122,5,LOST
3567,87,2,63.5,3,1,2,312,6,REGULARS
3895,564,3,63.45,1,2,2,122,5,LOST
2548,5,4,63.45,4,3,2,432,9,ACTIVE
3984,330,2,63.4,1,1,2,112,4,LOST
4390,344,2,63.4,1,1,2,112,4,LOST
4957,515,3,63.4,1,2,2,122,5,LOST
3934,243,4,63.36,2,3,2,232,7,REGULARS
2823,439,2,63.3,1,1,2,112,4,LOST
1446,484,3,63.26,1,2,2,122,5,LOST
2807,180,4,63.2,2,3,2,232,7,REGULARS
2924,41,4,63.16,4,3,2,432,9,ACTIVE
1351,307,2,63.1,1,1,2,112,4,LOST
1718,291,3,62.95,1,2,2,122,5,LOST
2750,107,3,62.95,3,2,2,322,7,REGULARS
2664,101,3,62.9,3,2,2,322,7,REGULARS
3705,114,4,62.8,3,3,2,332,8,REGULARS
1249,445,2,62.8,1,1,2,112,4,LOST
3088,27,3,62.8,4,2,2,422,8,ACTIVE
2135,339,2,62.8,1,1,2,112,4,LOST
2260,61,3,62.75,3,2,2,322,7,REGULARS
2935,355,4,62.7,1,3,2,132,6,LOST
4244,60,5,62.7,3,4,2,342,9,LOYAL
1362,85,2,62.7,3,1,2,312,6,REGULARS
1774,145,5,62.65,2,4,2,242,8,LOYAL
2351,358,3,62.64,1,2,2,122,5,LOST
1644,535,2,62.62,1,1,2,112,4,LOST
3666,262,5,62.6,2,4,2,242,8,LOYAL
4193,122,4,62.54,3,3,2,332,8,REGULARS
1365,58,6,62.5,3,4,2,342,9,LOYAL
1495,355,3,62.5,1,2,2,122,5,LOST
1846,31,5,62.5,4,4,2,442,10,LOYAL
2034,80,3,62.46,3,2,2,322,7,REGULARS
1903,295,4,62.45,1,3,2,132,6,LOST
4578,478,4,62.44,1,3,2,132,6,LOST
2489,8,4,62.42,4,3,2,432,9,ACTIVE
3690,223,2,62.4,2,1,2,212,5,REGULARS
4935,272,3,62.4,2,2,2,222,6,REGULARS
3869,151,3,62.4,2,2,2,222,6,REGULARS
4726,175,4,62.4,2,3,2,232,7,REGULARS
1295,160,3,62.35,2,2,2,222,6,REGULARS
3978,160,2,62.3,2,1,2,212,5,REGULARS
4284,77,3,62.3,3,2,2,322,7,REGULARS
4604,21,2,62.3,4,1,2,412,7,ACTIVE
1049,116,4,62.3,3,3,2,332,8,REGULARS
2148,164,5,62.25,2,4,2,242,8,LOYAL
3316,357,3,62.16,1,2,2,122,5,LOST
3952,61,4,62.16,3,3,2,332,8,REGULARS
4475,271,2,62.1,2,1,2,212,5,REGULARS
2669,97,4,62.1,3,3,2,332,8,REGULARS
1207,46,3,62.06,4,2,2,422,8,ACTIVE
4583,310,2,62.05,1,1,2,112,4,LOST
3961,6,4,61.9,4,3,2,432,9,ACTIVE
4597,170,3,61.9,2,2,2,222,6,REGULARS
4876,312,3,61.9,1,2,2,122,5,LOST
2624,134,2,61.8,3,1,2,312,6,REGULARS
2698,340,3,61.8,1,2,2,122,5,LOST
2912,336,5,61.79,1,4,2,142,7,LOYAL
1331,31,4,61.75,4,3,2,432,9,ACTIVE
3086,270,4,61.74,2,3,2,232,7,REGULARS
3463,97,4,61.74,3,3,2,332,8,REGULARS
4157,360,2,61.7,1,1,2,112,4,LOST
4873,118,3,61.7,3,2,2,322,7,REGULARS
1864,94,4,61.6,3,3,2,332,8,REGULARS
1223,30,4,61.6,4,3,2,432,9,ACTIVE
1202,161,4,61.6,2,3,2,232,7,REGULARS
4410,79,4,61.55,3,3,2,332,8,REGULARS
3424,136,3,61.54,3,2,2,322,7,REGULARS
3927,21,3,61.5,4,2,2,422,8,ACTIVE
2741,93,4,61.5,3,3,2,332,8,REGULARS
4629,44,4,61.42,4,3,2,432,9,ACTIVE
1849,188,3,61.42,2,2,2,222,6,REGULARS
3145,44,4,61.4,4,3,2,432,9,ACTIVE
1678,46,4,61.4,4,3,2,432,9,ACTIVE
4508,84,6,61.4,3,4,2,342,9,LOYAL
4744,63,5,61.4,3,4,2,342,9,LOYAL
2115,42,3,61.4,4,2,2,422,8,ACTIVE
4991,373,5,61.34,1,4,2,142,7,LOYAL
3020,125,3,61.3,3,2,2,322,7,REGULARS
3754,342,2,61.3,1,1,2,112,4,LOST
3379,343,2,61.3,1,1,2,112,4,LOST
2508,3,4,61.25,4,3,2,432,9,ACTIVE
1904,256,3,61.2,2,2,2,222,6,REGULARS
1370,178,3,61.1,2,2,2,222,6,REGULARS
2639,48,3,61.1,4,2,2,422,8,ACTIVE
1525,431,2,61.1,1,1,2,112,4,LOST
3987,133,4,61.05,3,3,2,332,8,REGULARS
4622,475,4,60.94,1,3,2,132,6,LOST
1629,205,3,60.9,2,2,2,222,6,REGULARS
2125,188,2,60.9,2,1,2,212,5,REGULARS
4264,233,4,60.9,2,3,2,232,7,REGULARS
3616,420,3,60.9,1,2,2,122,5,LOST
3742,130,2,60.86,3,1,2,312,6,REGULARS
4359,97,3,60.85,3,2,2,322,7,REGULARS
2945,164,2,60.8,2,1,2,212,5,REGULARS
2956,28,5,60.8,4,4,2,442,10,LOYAL
1298,156,3,60.8,2,2,2,222,6,REGULARS
4450,153,3,60.8,2,2,2,222,6,REGULARS
3420,306,3,60.7,1,2,2,122,5,LOST
1489,190,5,60.7,2,4,2,242,8,LOYAL
3220,53,5,60.7,4,4,2,442,10,LOYAL
3551,159,3,60.7,2,2,2,222,6,REGULARS
2606,338,3,60.7,1,2,2,122,5,LOST
1003,323,4,60.65,1,3,2,132,6,LOST
4285,1,4,60.65,4,3,2,432,9,ACTIVE
2388,406,4,60.62,1,3,2,132,6,LOST
3912,358,3,60.6,1,2,2,122,5,LOST
2699,32,5,60.55,4,4,2,442,10,LOYAL
3219,148,3,60.54,2,2,2,222,6,REGULARS
4016,253,2,60.4,2,1,2,212,5,REGULARS
1536,242,3,60.4,2,2,2,222,6,REGULARS
3921,419,4,60.4,1,3,2,132,6,LOST
2685,84,5,60.4,3,4,2,342,9,LOYAL
4620,294,3,60.36,1,2,2,122,5,LOST
2927,330,5,60.36,1,4,2,142,7,LOYAL
2920,80,5,60.3,3,4,2,342,9,LOYAL
2904,104,4,60.3,3,3,2,332,8,REGULARS
3731,423,4,60.22,1,3,2,132,6,LOST
1533,53,3,60.14,4,2,2,422,8,ACTIVE
1847,257,4,60.05,2,3,2,232,7,REGULARS
4116,243,3,60.0,2,2,2,222,6,REGULARS
2422,49,2,60.0,4,1,2,412,7,ACTIVE
3452,59,4,60.0,3,3,2,332,8,REGULARS
4954,97,4,60.0,3,3,2,332,8,REGULARS
3252,130,5,60.0,3,4,2,342,9,LOYAL
4881,155,3,59.94,2,2,2,222,6,REGULARS
4965,80,2,59.9,3,1,2,312,6,REGULARS
1174,322,5,59.9,1,4,2,142,7,LOYAL
1822,302,4,59.9,1,3,2,132,6,LOST
3515,180,5,59.8,2,4,2,242,8,LOYAL
2172,303,2,59.8,1,1,2,112,4,LOST
3382,412,3,59.75,1,2,2,122,5,LOST
1346,236,3,59.7,2,2,2,222,6,REGULARS
4507,137,2,59.7,3,1,2,312,6,REGULARS
4664,218,3,59.6,2,2,2,222,6,REGULARS
2899,36,4,59.6,4,3,2,432,9,ACTIVE
3157,448,3,59.52,1,2,2,122,5,LOST
4571,269,3,59.5,2,2,2,222,6,REGULARS
4053,283,1,59.5,1,1,2,112,4,LOST
2965,571,2,59.45,1,1,2,112,4,LOST
4665,307,4,59.42,1,3,2,132,6,LOST
1791,454,3,59.4,1,2,2,122,5,LOST
2536,53,3,59.3,4,2,2,422,8,ACTIVE
3006,3,3,59.3,4,2,2,422,8,ACTIVE
1902,29,3,59.22,4,2,2,422,8,ACTIVE
1512,101,4,59.21,3,3,2,332,8,REGULARS
2802,380,4,59.2,1,3,2,132,6,LOST
2264,352,3,59.2,1,2,2,122,5,LOST
4256,590,3,59.2,1,2,2,122,5,LOST
3838,16,3,59.1,4,2,2,422,8,ACTIVE
2598,49,1,59.1,4,1,2,412,7,ACTIVE
1064,158,3,59.1,2,2,2,222,6,REGULARS
4586,460,3,59.1,1,2,2,122,5,LOST
2078,75,2,59.04,3,1,2,312,6,REGULARS
4593,134,4,59.0,3,3,2,332,8,REGULARS
3415,217,2,59.0,2,1,2,212,5,REGULARS
4477,318,2,58.95,1,1,2,112,4,LOST
1214,354,2,58.9,1,1,2,112,4,LOST
4919,275,2,58.9,2,1,2,212,5,REGULARS
1751,280,4,58.9,2,3,2,232,7,REGULARS
2195,173,4,58.76,2,3,2,232,7,REGULARS
1088,30,3,58.75,4,2,2,422,8,ACTIVE
3772,94,4,58.72,3,3,2,332,8,REGULARS
2276,353,3,58.7,1,2,2,122,5,LOST
2994,536,2,58.7,1,1,2,112,4,LOST
1240,260,3,58.64,2,2,2,222,6,REGULARS
1764,45,5,58.6,4,4,2,442,10,LOYAL
4377,310,2,58.5,1,1,2,112,4,LOST
2934,108,4,58.5,3,3,2,332,8,REGULARS
1037,14,3,58.44,4,2,2,422,8,ACTIVE
4254,138,3,58.42,3,2,2,322,7,REGULARS
2557,68,3,58.4,3,2,2,322,7,REGULARS
3110,525,2,58.4,1,1,2,112,4,LOST
2846,98,3,58.36,3,2,2,322,7,REGULARS
3859,91,2,58.3,3,1,2,312,6,REGULARS
4369,127,4,58.3,3,3,2,332,8,REGULARS
3021,334,4,58.3,1,3,2,132,6,LOST
4166,54,4,58.26,4,3,2,432,9,ACTIVE
1995,201,5,58.22,2,4,2,242,8,LOYAL
1597,328,4,58.2,1,3,2,132,6,LOST
1024,142,1,58.2,2,1,2,212,5,REGULARS
1056,51,3,58.2,4,2,2,422,8,ACTIVE
1306,40,3,58.19,4,2,2,422,8,ACTIVE
4065,176,6,58.04,2,4,2,242,8,LOYAL
1348,104,2,58.0,3,1,2,312,6,REGULARS
2076,26,4,58.0,4,3,2,432,9,ACTIVE
4833,295,3,57.95,1,2,2,122,5,LOST
4198,287,2,57.9,1,1,2,112,4,LOST
3861,176,3,57.85,2,2,2,222,6,REGULARS
1268,437,4,57.8,1,3,2,132,6,LOST
1095,61,3,57.76,3,2,2,322,7,REGULARS
3816,12,4,57.7,4,3,2,432,9,ACTIVE
4125,199,5,57.6,2,4,2,242,8,LOYAL
4009,169,4,57.6,2,3,2,232,7,REGULARS
2282,233,1,57.6,2,1,2,212,5,REGULARS
4161,97,2,57.6,3,1,2,312,6,REGULARS
1676,80,4,57.6,3,3,2,332,8,REGULARS
2361,88,4,57.5,3,3,2,332,8,REGULARS
1199,20,4,57.5,4,3,2,432,9,ACTIVE
1547,256,3,57.5,2,2,2,222,6,REGULARS
3851,234,4,57.5,2,3,2,232,7,REGULARS
2531,493,2,57.5,1,1,2,112,4,LOST
4219,75,4,57.5,3,3,2,332,8,REGULARS
1772,58,4,57.5,3,3,2,332,8,REGULARS
1763,3,3,57.45,4,2,2,422,8,ACTIVE
1246,366,4,57.4,1,3,2,132,6,LOST
1664,273,3,57.4,2,2,2,222,6,REGULARS
4035,149,4,57.4,2,3,2,232,7,REGULARS
2875,59,3,57.4,3,2,2,322,7,REGULARS
2679,379,3,57.39,1,2,2,122,5,LOST
2326,31,3,57.3,4,2,2,422,8,ACTIVE
2471,139,3,57.3,3,2,2,322,7,REGULARS
4547,346,2,57.3,1,1,2,112,4,LOST
3257,320,2,57.25,1,1,2,112,4,LOST
3840,155,5,57.22,2,4,2,242,8,LOYAL
1578,190,4,57.2,2,3,2,232,7,REGULARS
4898,157,3,57.2,2,2,2,222,6,REGULARS
2657,223,2,57.2,2,1,2,212,5,REGULARS
1953,296,1,57.2,1,1,2,112,4,LOST
3936,511,2,57.15,1,1,2,112,4,LOST
2472,347,4,57.1,1,3,2,132,6,LOST
4768,292,1,57.0,1,1,2,112,4,LOST
1302,92,4,56.96,3,3,2,332,8,REGULARS
1988,113,2,56.9,3,1,2,312,6,REGULARS
2506,3,4,56.9,4,3,2,432,9,ACTIVE
2158,151,2,56.8,2,1,2,212,5,REGULARS
2933,268,2,56.8,2,1,2,212,5,REGULARS
3594,110,2,56.8,3,1,2,312,6,REGULARS
1843,24,4,56.65,4,3,2,432,9,ACTIVE
4089,87,3,56.65,3,2,2,322,7,REGULARS
2371,122,3,56.6,3,2,2,322,7,REGULARS
3310,230,4,56.55,2,3,2,232,7,REGULARS
4443,415,3,56.5,1,2,2,122,5,LOST
2837,102,5,56.45,3,4,2,342,9,LOYAL
2444,196,3,56.43,2,2,2,222,6,REGULARS
3202,46,3,56.4,4,2,2,422,8,ACTIVE
2106,36,5,56.4,4,4,2,442,10,LOYAL
3893,259,5,56.34,2,4,2,242,8,LOYAL
2671,156,4,56.3,2,3,2,232,7,REGULARS
3055,134,1,56.2,3,1,2,312,6,REGULARS
4173,233,2,56.2,2,1,2,212,5,REGULARS
4132,393,4,56.16,1,3,2,132,6,LOST
1498,63,4,56.1,3,3,2,332,8,REGULARS
4619,197,2,56.1,2,1,2,212,5,REGULARS
1394,220,2,56.1,2,1,2,212,5,REGULARS
3750,227,3,56.1,2,2,2,222,6,REGULARS
1739,213,2,55.9,2,1,2,212,5,REGULARS
3975,306,2,55.8,1,1,2,112,4,LOST
2939,149,3,55.8,2,2,2,222,6,REGULARS
4705,222,5,55.8,2,4,2,242,8,LOYAL
4343,9,2,55.78,4,1,2,412,7,ACTIVE
2458,129,2,55.7,3,1,2,312,6,REGULARS
4909,65,2,55.7,3,1,2,312,6,REGULARS
3279,399,3,55.69,1,2,2,122,5,LOST
4966,339,2,55.6,1,1,2,112,4,LOST
3896,111,4,55.6,3,3,2,332,8,REGULARS
3265,21,2,55.5,4,1,2,412,7,ACTIVE
1517,151,4,55.5,2,3,2,232,7,REGULARS
4752,226,3,55.45,2,2,2,222,6,REGULARS
3770,351,1,55.4,1,1,2,112,4,LOST
2010,11,4,55.34,4,3,2,432,9,ACTIVE
1717,51,3,55.3,4,2,2,422,8,ACTIVE
3781,98,3,55.3,3,2,2,322,7,REGULARS
2843,16,4,55.3,4,3,2,432,9,ACTIVE
4709,509,3,55.3,1,2,2,122,5,LOST
2074,10,4,55.2,4,3,2,432,9,ACTIVE
2936,205,2,55.2,2,1,2,212,5,REGULARS
3696,423,2,55.1,1,1,2,112,4,LOST
1912,130,3,55.1,3,2,2,322,7,REGULARS
2249,215,2,55.1,2,1,2,212,5,REGULARS
1291,285,4,55.0,1,3,2,132,6,LOST
1961,15,6,54.9,4,4,2,442,10,LOYAL
4080,180,4,54.9,2,3,2,232,7,REGULARS
1386,152,3,54.8,2,2,2,222,6,REGULARS
1689,386,2,54.8,1,1,2,112,4,LOST
3525,319,2,54.7,1,1,2,112,4,LOST
3554,160,4,54.7,2,3,2,232,7,REGULARS
1981,60,2,54.7,3,1,2,312,6,REGULARS
4245,209,4,54.6,2,3,2,232,7,REGULARS
1451,337,2,54.56,1,1,2,112,4,LOST
1852,478,4,54.52,1,3,2,132,6,LOST
1143,249,5,54.5,2,4,2,242,8,LOYAL
4655,150,4,54.5,2,3,2,232,7,REGULARS
1449,88,4,54.45,3,3,2,332,8,REGULARS
2032,155,2,54.45,2,1,2,212,5,REGULARS
3040,445,1,54.4,1,1,2,112,4,LOST
1150,26,4,54.4,4,3,2,432,9,ACTIVE
2903,144,3,54.4,2,2,2,222,6,REGULARS
4439,131,3,54.3,3,2,2,322,7,REGULARS
2205,298,2,54.3,1,1,2,112,4,LOST
2943,193,4,54.23,2,3,2,232,7,REGULARS
4420,308,3,54.2,1,2,2,122,5,LOST
3024,372,2,54.2,1,1,2,112,4,LOST
4559,232,4,54.2,2,3,2,232,7,REGULARS
2891,181,1,54.15,2,1,2,212,5,REGULARS
1163,16,3,54.1,4,2,2,422,8,ACTIVE
3068,194,3,54.1,2,2,2,222,6,REGULARS
3813,346,2,54.1,1,1,2,112,4,LOST
4466,118,3,54.0,3,2,2,322,7,REGULARS
3330,157,2,54.0,2,1,2,212,5,REGULARS
1301,57,3,54.0,4,2,2,422,8,ACTIVE
4764,94,3,53.95,3,2,2,322,7,REGULARS
3787,97,3,53.95,3,2,2,322,7,REGULARS
1803,232,4,53.9,2,3,2,232,7,REGULARS
4649,451,5,53.86,1,4,2,142,7,LOYAL
1000,35,5,53.8,4,4,2,442,10,LOYAL
2368,49,1,53.8,4,1,2,412,7,ACTIVE
2740,181,2,53.8,2,1,2,212,5,REGULARS
4200,555,1,53.76,1,1,2,112,4,LOST
3697,88,4,53.73,3,3,2,332,8,REGULARS
3473,267,3,53.72,2,2,2,222,6,REGULARS
2281,64,1,53.7,3,1,2,312,6,REGULARS
2080,253,2,53.6,2,1,2,212,5,REGULARS
