Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
2775,54,4,83.3,4,3,3,433,10,ACTIVE
1224,466,2,83.3,1,1,3,113,5,LOST
4233,197,4,83.3,2,3,3,233,8,REGULARS
3627,542,1,83.3,1,1,3,113,5,LOST
2316,205,3,83.16,2,2,3,223,7,REGULARS
2288,213,4,83.12,2,3,3,233,8,REGULARS
1994,86,3,83.1,3,2,3,323,8,REGULARS
4148,265,5,83.05,2,4,3,243,9,LOYAL
1152,164,4,83.05,2,3,3,233,8,REGULARS
1034,596,3,83.05,1,2,3,123,6,LOST
1564,68,4,83.0,3,3,3,333,9,REGULARS
2386,25,4,83.0,4,3,3,433,10,ACTIVE
1736,123,5,83.0,3,4,3,343,10,LOYAL
3049,328,2,82.9,1,1,3,113,5,LOST
1647,10,3,82.88,4,2,3,423,9,ACTIVE
4613,227,4,82.82,2,3,3,233,8,REGULARS
3982,92,7,82.79,3,4,3,343,10,LOYAL
4940,131,3,82.75,3,2,3,323,8,REGULARS
4749,318,4,82.75,1,3,3,133,7,LOST
1340,42,6,82.7,4,4,3,443,11,LOYAL
2683,141,3,82.7,3,2,3,323,8,REGULARS
2872,102,3,82.69,3,2,3,323,8,REGULARS
2071,77,4,82.66,3,3,3,333,9,REGULARS
4375,86,5,82.6,3,4,3,343,10,LOYAL
4662,43,5,82.54,4,4,3,443,11,LOYAL
2225,246,4,82.5,2,3,3,233,8,REGULARS
2930,282,4,82.5,1,3,3,133,7,LOST
4126,419,3,82.4,1,2,3,123,6,LOST
2000,129,2,82.4,3,1,3,313,7,REGULARS
1725,429,3,82.35,1,2,3,123,6,LOST
3868,133,2,82.35,3,1,3,313,7,REGULARS
1420,22,4,82.35,4,3,3,433,10,ACTIVE
2762,12,4,82.35,4,3,3,433,10,ACTIVE
3013,131,5,82.3,3,4,3,343,10,LOYAL
2319,234,2,82.3,2,1,3,213,6,REGULARS
4869,271,3,82.3,2,2,3,223,7,REGULARS
2331,32,6,82.22,4,4,3,443,11,LOYAL
4396,201,2,82.22,2,1,3,213,6,REGULARS
3053,5,3,82.2,4,2,3,423,9,ACTIVE
3468,46,4,82.2,4,3,3,433,10,ACTIVE
